Month,p05,p25,p50,p75,p95
182,1972314.0986857654,3997442.7095163786,6216666.943956586,9460748.97136726,70014002.37362912
183,2005682.325282933,4043172.1814872893,6255859.639934821,9529799.237290762,70014002.37362912
184,2025128.259565216,4082934.3930780906,6358544.851138489,9617162.893783964,70014002.37362912
185,2005383.6975556868,4098913.7848797697,6419649.304157833,9744938.046802806,70014002.37362912
186,2026596.4155494962,4132227.274591354,6476747.1910315,9890523.202826161,70014002.37362912
187,2058171.036592327,4195580.510446936,6539083.145469943,9956649.399536077,70014002.37362912
188,2026959.1785003855,4204734.576862518,6568759.8965481,10038377.290465202,70014002.37362912
189,2068605.1430767926,4261886.173184371,6662153.370019512,10136131.388673829,70014002.37362912
190,2091375.541968325,4293897.895123748,6727694.658178201,10319450.798579521,70014002.37362912
191,2101019.936711894,4358096.336445656,6770411.826550681,10403463.012337064,70014002.37362912
192,2102058.3295193966,4389664.03623605,6816196.92642669,10564563.248403998,70014002.37362912
193,2148829.436718036,4431231.606924604,6918805.443375655,10699142.096404143,70014002.37362912
194,2152644.9683432053,4494661.682399337,6955440.248617886,10757778.776308,70014002.37362912
195,2168240.7801759406,4514946.390904585,7033981.759416542,10870377.916162107,70014002.37362912
196,2184716.0784688536,4552752.256526692,7114260.207451703,10949549.045578908,70014002.37362912
197,2185095.471215867,4577047.3882723395,7196033.35022523,11116383.875866989,70014002.37362912
198,2216304.8768038657,4627038.939847627,7278282.133074438,11186232.474396454,70014002.37362912
199,2235111.61204087,4670552.196674497,7353950.816351925,11358147.506767513,70014002.37362912
200,2261663.6470393334,4722555.495399148,7432301.66422573,11496699.97226166,70014002.37362912
201,2297437.0376320337,4731929.558454025,7473145.6929661855,11524898.951203816,70014002.37362912
202,2321775.0670949398,4788894.849431323,7540424.578620696,11671991.297795229,70014002.37362912
203,2314620.700042832,4827012.576837383,7639722.313552409,11773794.731948074,70014002.37362912
204,2345311.9906614968,4897775.862580455,7721781.452195667,11910194.951240938,70014002.37362912
205,2355989.689383592,4941395.328422941,7819687.355727183,12078052.703890145,70014002.37362912
206,2388332.482118076,4958512.7658036,7892693.659713276,12229200.618297264,70014002.37362912
207,2414231.6698134965,5039503.966137131,7980205.5969592575,12311609.26130251,70014002.37362912
208,2409799.30234899,5099167.183448612,8105296.413348148,12430991.074197922,70014002.37362912
209,2430539.804467961,5129467.867609225,8191035.922086302,12638914.421829492,70014002.37362912
210,2453401.8789494187,5189958.49457613,8208848.538283937,12771592.908079263,70014002.37362912
211,2432481.575316553,5234635.958649946,8313957.351940768,12948965.135333711,70014002.37362912
212,2483013.9156544413,5265250.396937938,8426964.491420511,13118402.673876096,70014002.37362912
213,2482326.537762573,5313819.181326751,8493465.044758413,13314428.567158088,70014002.37362912
214,2463120.5815423634,5343081.05932795,8630559.989633868,13387268.719566109,70014002.37362912
215,2490692.0169879864,5404206.905981003,8692694.54726386,13570198.877915893,70014002.37362912
216,2463883.530391445,5426372.597215803,8834788.421704687,13674459.544965172,70014002.37362912
217,2489377.7923299917,5485212.308335238,8917343.718678664,13933677.053476026,70014002.37362912
218,2493226.173012287,5541271.729255026,8949232.94423309,14076811.498768542,70014002.37362912
219,2495143.3320670673,5577961.840085867,9048970.483149748,14175931.010554066,70014002.37362912
220,2523515.5985577456,5623881.674009248,9161039.601377603,14347225.519286657,70014002.37362912
221,2565819.8801769875,5663074.226319226,9243704.618449416,14397290.89183852,70014002.37362912
222,2604038.8827982442,5713200.782773356,9332698.339043964,14627073.249134311,70014002.37362912
223,2606140.8448979054,5746102.51693345,9432080.791162787,14747350.138234109,70014002.37362912
224,2680657.6465888056,5775337.340759584,9514143.468454454,14912365.489460979,70014002.37362912
225,2640459.3643196635,5868641.7090637535,9602920.810212754,15041083.321494266,70014002.37362912
226,2649368.5683691427,5902765.586439945,9715169.67334329,15200773.974102367,70014002.37362912
227,2652896.504681668,5959134.1578781195,9833080.742686486,15319849.244661104,70014002.37362912
228,2679141.4800216486,5990776.742065181,9885402.511140753,15518641.307202136,70014002.37362912
229,2711773.3209413122,6041753.02835828,9956600.270729661,15741582.29913018,70014002.37362912
230,2700859.7525910814,6094975.7627609335,10048988.216905545,15935762.215374574,70014002.37362912
